route,module,expected_role,actual_role,navigation_status,api_status,page_rendered,authorization_status,production_evidence,status,notes
/,Dashboard,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/ + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=433; mutation-controls-detected-not-executed=1
/finance/bulk,Bulk Finance,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/finance/bulk + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=293; mutation-controls-detected-not-executed=1
/report-builder,Report Builder,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/report-builder + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=215; mutation-controls-detected-not-executed=2
/data-export,Data Export,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/data-export + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=850; mutation-controls-detected-not-executed=1
/data-import,Data Import,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/data-import + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=322; mutation-controls-detected-not-executed=2
/sms,SMS,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/sms + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=300; mutation-controls-detected-not-executed=3
/templates,Templates,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/templates + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=242; mutation-controls-detected-not-executed=2
/campus-dashboard,Campus Dashboard,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/campus-dashboard + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=117; mutation-controls-detected-not-executed=1
/executive-dashboard,Executive Dashboard,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/executive-dashboard + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=105; mutation-controls-detected-not-executed=1
/alumni,Alumni,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/alumni + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=259; mutation-controls-detected-not-executed=3
/announcements,Announcements,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/announcements + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=276; mutation-controls-detected-not-executed=3
/ai-assistant,AI Assistant,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/ai-assistant + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=191; mutation-controls-detected-not-executed=1
/staff-operations,Staff Leave & Attendance,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/staff-operations + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=358; mutation-controls-detected-not-executed=2
/assignments,Assignments,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/assignments + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=591; mutation-controls-detected-not-executed=1
/discipline,Discipline,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/discipline + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=183; mutation-controls-detected-not-executed=2
/homework,Homework,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/homework + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=139; mutation-controls-detected-not-executed=1
/lms,Online Courses,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/lms + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=130; mutation-controls-detected-not-executed=1
/tenants,Schools,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/tenants + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=191; mutation-controls-detected-not-executed=2
/health,System Health,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/health + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=132; mutation-controls-detected-not-executed=1
