Role,Module,UI,API,Authentication,Authorization,Tenant/Campus Isolation,Read Workflow,Safe Action,Mutation,Performance,Responsive UI,Status,Evidence IDs,Notes
SUPER_ADMIN,HR,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,E11,
SUPER_ADMIN,Payroll,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,E11,
SUPER_ADMIN,Communication,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,E13,
SUPER_ADMIN,Library,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,E14,
SUPER_ADMIN,AI,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — EXTERNAL SIDE EFFECT BLOCKED,PASS,PASS,CERTIFIED,E15,
ADMIN,Dashboard,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,A1,
ADMIN,Students,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,A2,
ADMIN,Teachers,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,A3,
ADMIN,Staff,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,A4,
ADMIN,Library,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,A5,
ADMIN,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,A6,
ADMIN,Finance_Reports,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,A7,
ADMIN,Attendance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,A8,
ADMIN,Exams,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,A9,
ADMIN,Report_Cards,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,A9,
ADMIN,Finance_Reports,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,A11,
ADMIN,HR,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,A11,
ADMIN,Payroll,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,A12,
ADMIN,Communication,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,A13,
ADMIN,Library,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,A14,
ADMIN,AI,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — EXTERNAL SIDE EFFECT BLOCKED,PASS,PASS,CERTIFIED,A15,
TEACHER,Dashboard,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,T1,
TEACHER,Students,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,T2,
TEACHER,Exams,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,T3,
TEACHER,Report_Cards,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,T4,
TEACHER,Attendance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,T5,
TEACHER,Library,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,T6,
TEACHER,Finance_Dashboard,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,T7,
TEACHER,Finance_Reports,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,T7,
TEACHER,Attendance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,T8,
TEACHER,Exams,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,T9,
TEACHER,Report_Cards,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,T10,
TEACHER,Library,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,T11,
TEACHER,HR,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,T12,
TEACHER,Payroll,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,T13,
STAFF,Dashboard,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,S1,
STAFF,Library,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,S2,
STAFF,Finance_Dashboard,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,S3,
STAFF,Attendance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,S4,
STAFF,Exams,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,S5,
STAFF,Attendance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,S4,
STAFF,Exams,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,S5,
STAFF,Report_Cards,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,S5,
STAFF,HR,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,S6,
STAFF,Payroll,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,S7,
STAFF,Communication,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,S8,
STAFF,Library,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,S9,
STAFF,AI,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — EXTERNAL SIDE EFFECT BLOCKED,PASS,PASS,CERTIFIED,S10,
STUDENT,Dashboard,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,U1,
STUDENT,Students,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,U2,
STUDENT,Attendance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,U3,
STUDENT,Exams,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,U3,
STUDENT,Report_Cards,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,U4,
STUDENT,Finance_Dashboard,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,U5,
STUDENT,Attendance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,U6,
STUDENT,Exams,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,U6,
STUDENT,Report_Cards,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,U7,
LIBRARIAN,Dashboard,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
ACCOUNTANT,Finance,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
GUARD,Security,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
ADMIN_OFFICER,Administration,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
NURSE,Health,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,NOT_CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE
HR,HR,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED
RECEPTIONIST,Admissions,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED
TRANSPORT,Transport,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED
INVENTORY,Inventory,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED
HOSTEL,Hostel,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED,NOT_CERTIFIED — ACCOUNT NOT PROVISIONED
