module,endpoint,HTTP method,authentication required,role,data scope,actual status,response time,result,evidence ID
Finance,/api/finance/categories/,GET,Yes,STAFF_01,Institution,403,9.0s,FORBIDDEN,E=42049
Finance,/api/finance/categories/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.5s,PASS,E=42050
Finance,/api/finance/categories/,GET,Yes,TEACHER_01,Class,403,9.4s,FORBIDDEN,E=42051
Finance,/api/finance/fee-structures/,GET,Yes,ADMIN,Institution,200,12.2s,PASS,E=42052
Finance,/api/finance/fee-structures/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,6.0s,PASS,E=42053
Finance,/api/finance/invoices/,GET,Yes,ADMIN,Institution,200,11.3s,PASS,E=42054
Finance,/api/finance/invoices/,GET,Yes,STAFF_01,Institution,403,9.1s,FORBIDDEN,E=42055
Finance,/api/finance/invoices/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.8s,PASS,E=42056
Finance,/api/finance/invoices/,GET,Yes,TEACHER_01,Class,403,9.1s,FORBIDDEN,E=42057
Finance,/api/finance/payments/,GET,Yes,ADMIN,Institution,200,11.5s,PASS,E=42058
Finance,/api/finance/payments/,GET,Yes,STAFF_01,Institution,403,8.7s,FORBIDDEN,E=42059
Finance,/api/finance/payments/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.7s,PASS,E=42060
Finance,/api/finance/payments/,GET,Yes,TEACHER_01,Class,403,9.7s,FORBIDDEN,E=42061
Finance,/api/finance/reports/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.2s,DEPRECATED,E=42062
Finance,/api/finance/reports/income-expense/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.9s,PASS,E=42063
Finance,/api/finance/reports/receivables/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.9s,PASS,E=42064
Finance,/api/finance/reports/trial-balance/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.9s,PASS,E=42065
HR,/api/hr/employees/,GET,Yes,ADMIN,Institution,200,9.7s,PASS,E=42066
HR,/api/hr/employees/,GET,Yes,STAFF_01,Institution,200,9.3s,PASS,E=42067
HR,/api/hr/employees/,GET,Yes,STUDENT_01,Self,200,9.5s,PASS,E=42068
HR,/api/hr/employees/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.7s,PASS,E=42069
HR,/api/hr/employees/,GET,Yes,TEACHER_01,Class,200,10.2s,PASS,E=42070
HealthRecords,/api/health-records/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.2s,FAIL,E=42071
Helpdesk,/api/helpdesk/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.3s,FAIL,E=42072
Homework,/api/homework/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,5.1s,PASS,E=42073
Hostel,/api/hostel/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.3s,FAIL,E=42074
Inventory,/api/inventory/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.4s,FAIL,E=42075
LMS,/api/lms/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.4s,FAIL,E=42076
Library,/api/library/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.4s,FAIL,E=42077
Payroll,/api/payroll/records/,GET,Yes,ADMIN,Institution,200,11.3s,PASS,E=42078
Payroll,/api/payroll/records/,GET,Yes,STAFF_01,Institution,403,8.8s,FORBIDDEN,E=42079
Payroll,/api/payroll/records/,GET,Yes,STUDENT_01,Self,403,8.7s,FORBIDDEN,E=42080
Payroll,/api/payroll/records/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.8s,PASS,E=42081
Payroll,/api/payroll/records/,GET,Yes,TEACHER_01,Class,403,9.2s,FORBIDDEN,E=42082
PayrollReports,/api/reports/payroll-summary/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,5.9s,PASS,E=42083
PayrollReports,/api/reports/payroll/allowances/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,6.0s,PASS,E=42084
PayrollReports,/api/reports/payroll/deductions/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,6.1s,PASS,E=42085
PayrollReports,/api/reports/payroll/monthly/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,6.6s,PASS,E=42086
PayrollReports,/api/reports/payroll/net-salary/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,6.1s,PASS,E=42087
PayrollReports,/api/reports/payroll/paid/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,6.1s,PASS,E=42088
PayrollReports,/api/reports/payroll/pending/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.9s,PASS,E=42089
PayrollReports,/api/reports/payroll/salary-slip/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.6s,EXPECTED,E=42090
PayrollReports,/api/reports/payroll/summary/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,6.4s,PASS,E=42091
Portal,/api/portal/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.3s,FAIL,E=42092
ReportCards,/api/report-cards/,GET,Yes,ADMIN,Institution,200,11.4s,PASS,E=42093
ReportCards,/api/report-cards/,GET,Yes,STAFF_01,Institution,200,14.6s,PASS,E=42094
ReportCards,/api/report-cards/,GET,Yes,STUDENT_01,Self,200,15.6s,PASS,E=42095
ReportCards,/api/report-cards/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.8s,PASS,E=42096
ReportCards,/api/report-cards/,GET,Yes,TEACHER_01,Class,200,13.2s,PASS,E=42097
Reports,/api/reports/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.3s,PARENT-404,E=42098
Reports,/api/reports/attendance/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,7.6s,PASS,E=42099
Reports,/api/reports/collection-trend/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,6.4s,PASS,E=42100
Reports,/api/reports/discounts/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.9s,PASS,E=42101
Reports,/api/reports/enrollment/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,5.8s,PASS,E=42102
Reports,/api/reports/fee-categories/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.9s,PASS,E=42103
Reports,/api/reports/fee-defaulters/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.7s,PASS,E=42104
Reports,/api/reports/fees/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,6.9s,PASS,E=42105
Reports,/api/reports/payments/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,5.7s,PASS,E=42106
Reports,/api/reports/staff/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.8s,PASS,E=42107
Reports,/api/reports/student-status/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,6.0s,PASS,E=42108
Reports,/api/reports/teacher-workload/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,5.3s,PASS,E=42109
SAAS,/api/saas/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.4s,FAIL,E=42110
Schools,/api/schools/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.8s,PASS,E=42111
Schools,/api/schools/academic-years/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.6s,PASS,E=42112
Schools,/api/schools/campuses/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,5.3s,PASS,E=42113
Schools,/api/schools/classes/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.9s,PASS,E=42114
Schools,/api/schools/sections/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.9s,PASS,E=42115
Search,/api/search/,GET,Yes,ADMIN,Institution,200,6.7s,PASS,E=42116
Search,/api/search/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.2s,PASS,E=42117
Settings,/api/settings/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.6s,FAIL,E=42118
Staff,/api/staff/,GET,Yes,ADMIN,Institution,200,10.9s,PASS,E=42119
Staff,/api/staff/,GET,Yes,STAFF_01,Institution,200,10.6s,PASS,E=42120
Staff,/api/staff/,GET,Yes,STUDENT_01,Self,200,10.5s,PASS,E=42121
Staff,/api/staff/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,5.4s,PASS,E=42122
Staff,/api/staff/,GET,Yes,TEACHER_01,Class,200,11.4s,PASS,E=42123
Students,/api/students/,GET,Yes,ADMIN,Institution,200,12.6s,PASS,E=42124
Students,/api/students/,GET,Yes,STAFF_01,Institution,200,11.6s,PASS,E=42125
Students,/api/students/,GET,Yes,STUDENT_01,Self,200,10.7s,PASS,E=42126
Students,/api/students/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,7.0s,PASS,E=42127
Students,/api/students/,GET,Yes,TEACHER_01,Class,200,12.1s,PASS,E=42128
Students,/api/students/me/,GET,Yes,STUDENT_01,Self,200,9.6s,PASS,E=42129
Teachers,/api/teachers/,GET,Yes,ADMIN,Institution,200,11.6s,PASS,E=42130
Teachers,/api/teachers/,GET,Yes,STAFF_01,Institution,200,11.5s,PASS,E=42131
Teachers,/api/teachers/,GET,Yes,STUDENT_01,Self,200,12.0s,PASS,E=42132
Teachers,/api/teachers/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,5.6s,PASS,E=42133
Teachers,/api/teachers/,GET,Yes,TEACHER_01,Class,200,12.1s,PASS,E=42134
Timetable,/api/timetable/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.3s,FAIL,E=42135
Transport,/api/transport/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.4s,FAIL,E=42136
Visitors,/api/visitors/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.4s,FAIL,E=42137
Workflow,/api/workflow/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.3s,FAIL,E=42138
