PHASE 77 - STEP 3: END-TO-END FUNCTION TRACE
=============================================
Phase: 77
Date: 2026-09-24
Method: Static trace of each function across layers: FRONTEND (page/component -> fetch call) -> ROUTE (App.jsx) -> API ENDPOINT (config/urls.py + app urls.py) -> VIEW (backend app) -> MODEL -> TEST COVERAGE.
Environment: READ-ONLY. No production mutation. No authenticated session available (AUTH in every status column = authenticated browser required; hence production operation AUTH_TEST_BLOCKED by default).

Columns:
trace_id | function_name | frontend_layer | route_guard | api_endpoint | http_methods | backend_view | backend_app | model(s) | test_evidence | full_path_status | gaps
TRACE-0010|Email verification|VerifyEmailPage.jsx (?token=) -> /api/auth/email-verify/confirm/|PUBLIC (route /verify-email)|/api/auth/email-verify/send/, /confirm/|POST|EmailVerificationSendView, EmailVerificationConfirmView|accounts|EmailVerification|No dedicated test file (covered under accounts auth tests)|COMPLETE|Email delivery provider unverified in prod

TRACE-0011|Google Sign-In|LoginPage GSI button|PUBLIC|/api/auth/google/config/, /login/|GET,POST|GoogleConfigView, GoogleLoginView|accounts|User, RoleAssignment|GoogleSso2FaRequiredTest|COMPLETE|External OAuth provider config unverified

TRACE-0012|Role/permission admin|SettingsPage (lists); admin-only endpoints|'/settings' (super_admin,admin,principal,academic)|/api/auth/roles/, /permissions/, /permissions/{pk}/, /role-permissions/..., /user-permissions/..., /user-permissions/summary/{uid}/|GET,POST,DELETE|RoleListView, PermissionListView, PermissionDetailView, RolePermission*, UserPermission* views|accounts|RolePermission, UserPermission, Permission|PermissionCatalogSeedingTests, RolePermissionTests, UserPermissionTests, UserPermissionEffectiveTests|COMPLETE|Many endpoints lack dedicated frontend UI (admin API only)

TRACE-0013|Dashboard overview KPIs|Dashboard.jsx fetches|'/' ANY authenticated|/api/dashboard/overview/|GET|dashboard_overview|dashboard|(computed over Student, Enrollment, Payment etc.)|AcademicDashboardTests, DashboardCountsAccuracyTests, DashboardIsolationTests|COMPLETE|None

TRACE-0014|Dashboard attendance/finance/exams widgets|Dashboard.jsx|'/'|/api/dashboard/attendance/, /finance/, /finance/breakdown/, /exams/|GET|dashboard_attendance, dashboard_finance, dashboard_finance_breakdown, dashboard_exams|dashboard|computed|AcademicDashboardTests|COMPLETE|None

TRACE-0015|Executive dashboard|ExecutiveDashboardPage.jsx fetches|'/executive-dashboard' (super_admin,admin,academic,principal,vice_principal,campus_admin)|/api/dashboard/executive/|GET|dashboard_executive|dashboard|computed|ExecutiveDashboardTests|COMPLETE|None

TRACE-0016|Students list/search/add/edit|StudentsPage.jsx (useApiList for list)|'/students' (super_admin,admin,principal,academic,accountant,teacher,student)|/api/students/ (list/create), /api/students/{pk}/ (detail/update/delete)|GET,POST,PATCH,DELETE|StudentListCreateView, StudentDetailView|students|Student, Enrollment|StudentLifecycleModelTests, StudentCreationInstitutionRegressionTests, StudentStatusTransitionApiTests, StudentQueryProfileTest|COMPLETE|Student 'student' role self-view; student create/edit = mutation (MUTATION_BLOCKED prod test)

TRACE-0017|Student 360 aggregate|Student360Page.jsx|'/students/:id' (super_admin,admin,principal,academic,accountant,teacher)|/api/students/{sid}/360/|GET|Student360View|students|Student + many related|Student360ModelTests, Student360SerializerTests, Student360APITests|COMPLETE|None

TRACE-0018|Student certificate/transcript PDF|ProfilePage.jsx download|'/profile/student/:id'|/api/students/{pk}/certificate/{cert_type}/, /transcript.pdf|GET|StudentCertificatePdfView, StudentTranscriptPdfView|students|Student|Partial (no dedicated PDF test)|COMPLETE trip|PDF rendering unverified live

TRACE-0019|Admissions management|AdmissionsPage.jsx|'/admissions' (super_admin,admin,principal,academic)|/api/students/admissions/, /{pk}/, /{pk}/review/, /{pk}/accept/|GET,POST,PUT|AdmissionApplicationListCreateView, AdmissionApplicationDetailView, AdmissionApplicationReviewView, AdmissionApplicationAcceptView|students|AdmissionApplication|No dedicated admissions tests found|COMPLETE trip|Accept = mutation

TRACE-0020|Public admission apply|AdmissionsApplyPage.jsx|PUBLIC (/apply)|/api/students/admissions/public/options/, /public/apply/|GET,POST|PublicAdmissionOptionsView, PublicAdmissionApplyView|students|AdmissionApplication|PublicAdmissionIsolationTests|COMPLETE|None

TRACE-0021|Inquiries pipeline|AdmissionsPage.jsx|'/admissions'|/api/students/inquiries/, /{pk}/, /{pk}/convert/|GET,POST,PUT|InquiryListCreateView, InquiryDetailView, InquiryConvertView|students|Inquiry|No dedicated tests|COMPLETE trip|Convert = mutation

TRACE-0022|Campus transfer workflow|StudentLifecyclePanel.jsx (Student360Page)|'/students/:id'|/api/students/campus-transfers/, /{pk}/approve|reject|complete|cancel|reverse|/GET,POST,PUT|CampusTransfer* views|students|CampusTransfer|StudentTransferTenantIsolationTests|COMPLETE trip|Mutation workflow

TRACE-0023|Section transfer workflow|StudentLifecyclePanel.jsx|'/students/:id'|/api/students/section-transfers/, /{pk}/approve|reject|complete|cancel|GET,POST,PUT|SectionTransfer* views|students|SectionTransfer|No dedicated tests|COMPLETE trip|Mutation workflow

TRACE-0024|Graduate/withdraw/activate lifecycle|StudentLifecyclePanel.jsx, StudentsPage|'/students', '/students/:id'|/api/students/{pk}/graduate, /withdraw, /activate, /lifecycle/; /graduation/batch/; /promotions/|POST|StudentGraduateView, StudentWithdrawView, StudentActivateView, StudentLifecycleActionView, StudentBatchGraduateView, PromotionView|students|Student, StudentLifecycleEvent, ProgressionRecord, StudentAlumni|StudentBatchGraduateApiTests, StudentStatusTransitionApiTests, StudentLifecycleModelTests|COMPLETE trip|Mutation workflow

TRACE-0025|Guardians CRUD + student-guardian link|StudentsPage.jsx, ParentPortalPage|'/students', '/parent-portal'|/api/students/guardians/, /guardians/me/, /guardian-links/, /guardians/{pk}/|GET,POST,PUT|GuardianListCreateView, GuardianMyView, StudentGuardianListCreateView, GuardianDetailView|students|Guardian, StudentGuardian|No dedicated tests|COMPLETE trip|-

TRACE-0026|Student documents|DocumentsPage.jsx|'/documents'|/api/students/documents/, /{pk}/|GET,POST,PUT,DELETE|StudentDocumentListCreateView, StudentDocumentDetailView|students|StudentDocument|StudentDocumentIsolationTests, MediaFileSecurityTests, F9DocumentUploadValidationTests|COMPLETE|-

TRACE-0027|Transfer certificate issue/verify|ProfilePage.jsx cert download + public verify|'/profile/student/:id'|/api/students/transfer-certificates/, /{pk}/issue|cancel, /verify/{code}/|GET,POST,PUT|TransferCertificateListCreateView, TransferCertificateDetailView, TransferCertificateIssueView, TransferCertificateCancelView, TransferCertificateVerifyView|students|TransferCertificate|TransferCertificateVerifyTests|COMPLETE|Verify public path unverified live

TRACE-0028|Student leave requests|Students-related UI|'/students/:id'|/api/students/leave/, /leave/{pk}/action/|GET,POST|StudentLeaveRequestListCreateView, StudentLeaveRequestActionView|students|StudentLeaveRequest|No dedicated tests|COMPLETE trip|Action = mutation

TRACE-0029|Academic history|AcademicsPage.jsx|'/academics'|/api/students/academic-history/, /{pk}/|GET,POST|AcademicHistoryListView, AcademicHistoryDetailView|students|AcademicHistory|No dedicated tests|COMPLETE trip|-

TRACE-0030|Teacher directory CRUD|TeachersPage.jsx|'/teachers' (super_admin,admin,principal,academic)|/api/teachers/, /{pk}/, /me/|GET,POST,PATCH,DELETE|TeacherListCreateView, TeacherDetailView, TeacherMyView|teachers|Teacher, TeacherAssignment|TeacherAssignmentModelTests, TeacherAPIRegressionTests, TeacherDetailRegressionTests|COMPLETE|CRUD = mutation

TRACE-0031|Teacher assignments|AssignmentsPage.jsx|'/assignments'|/api/teachers/assignments/, /{pk}/|GET,POST,PUT|TeacherAssignmentListCreateView, TeacherAssignmentDetailView|teachers|TeacherAssignment|TeacherAssignmentModelTests|COMPLETE|-

TRACE-0032|Staff directory CRUD|StaffPage.jsx|'/staff'|/api/staff/... (staff_urls)|GET,POST,PUT,DELETE|staff_urls registered under apps.accounts|accounts|StaffProfile|StaffPortalRegressionTests|COMPLETE|-

TRACE-0033|Staff leave & attendance ops|StaffOperationsPage.jsx|'/staff-operations'|/api/staff/...|GET,POST|StaffLeave/StaffAttendance views (accounts)|accounts|StaffLeave, StaffAttendance, StaffAttendanceCorrection|StaffAttendanceModelTests, StaffAttendanceCorrectionTests|COMPLETE|Leave/attendance submit = mutation

TRACE-0034|Attendance mark (per roster)|AttendancePage.jsx|'/attendance'|/api/attendance/mark/, /bulk/, /|POST,GET|AttendanceMarkView, AttendanceBulkMarkView, AttendanceListView|attendance|Attendance|AttendanceModelTests, AttendanceCorrectionModelTests|COMPLETE|Mark = mutation (MUTATION_BLOCKED)

TRACE-0035|Attendance summary/monthly/history|AttendancePage.jsx|'/attendance'|/api/attendance/summary/, /monthly/, /history/|GET|AttendanceSummaryView, AttendanceMonthlyView, AttendanceHistoryView|attendance|Attendance|AttendanceModelTests|COMPLETE|-

TRACE-0036|Attendance corrections|AttendancePage.jsx|'/attendance'|/api/attendance/corrections/, /{pk}/|GET,POST,PUT|AttendanceCorrectionListView, AttendanceCorrectionView|attendance|AttendanceCorrection|AttendanceCorrectionModelTests|COMPLETE|-

TRACE-0037|Academic years/terms workflow|AcademicsPage.jsx, SettingsPage.jsx|'/academics','/settings'|/api/schools/academic-years/, /{pk}/, /{pk}/{action}/; /terms/...|GET,POST,PUT|AcademicYearListView, AcademicYearDetailView, AcademicYearActionView, Term*|schools|AcademicYear, Term|AcademicYearTermWorkflowApiTests|COMPLETE|Actions = mutation

TRACE-0038|Classes/sections/units/subjects|AcademicsPage.jsx, SettingsPage.jsx|'/academics','/settings'|/api/schools/units/, /classes/, /sections/, /sections/{pk}/, /subjects/, /offerings/|GET|AcademicUnitListView, ClassListView, SectionListView, SectionDetailView, SubjectListView, SubjectOfferingListView|schools|AcademicUnit, Class, Section, Subject, SubjectOffering|SectionDetailApiTests, ClassHeadcountApiTests, AcademicStructureModelTests|COMPLETE|-

TRACE-0039|Campus CRUD|CampusesPage.jsx|'/campuses'|/api/schools/campuses/ (list/create), /{pk}/ (CRUD)|GET,POST,PUT,PATCH,DELETE|CampusViewSet|schools|Campus|CampusIsolationTests, CampusScopedUserTests|COMPLETE|CRUD = mutation

TRACE-0040|School lifecycle (pause/activate/archive)|TenantsPage.jsx|'/tenants' (isPlatformAdmin)|/api/schools/{pk}/pause|activate|archive|unarchive|POST|SchoolViewSet|schools|School|TenantDataIsolationTests|COMPLETE|Mutation

TRACE-0041|School branding|BrandingPage.jsx|'/branding' (super_admin,admin)|/api/schools/branding/|GET,PUT|SchoolBrandingView|schools|SchoolSettings|TenantBrandingApiTests, ThemeColorBrandingApiTests, BrandingIsolationTests|COMPLETE|Upload = mutation

TRACE-0042|Tenant config (public) for login|LoginPage.jsx|PUBLIC|/api/schools/tenant-config/|GET|PublicTenantConfigView|schools|SchoolSettings|No dedicated test|COMPLETE|-

TRACE-0043|Module enablement flags|schoolContext.jsx|n/a|/api/schools/modules/current/|GET|CurrentModulesView|schools|(module registry)|ModuleEnforcementTests|COMPLETE|-

TRACE-0044|Finance: categories/fee structures|FinancePage.jsx|'/finance'|/api/finance/categories/, /fee-structures/, /{pk}/|GET,POST|FeeCategoryListView, FeeStructureListView, FeeStructureDetailView|finance|FeeCategory, FeeStructure|FeeAssignmentTests, FinanceModelTests|COMPLETE|-

TRACE-0045|Finance: invoices (single + bulk + installments)|FinancePage.jsx, BulkFinancePage.jsx|'/finance', '/finance/bulk'|/api/finance/invoices/, /create/, /{pk}/, /invoices/bulk/, /invoices/{id}/installments/|GET,POST,PUT|InvoiceListView, InvoiceCreateView, InvoiceDetailView, BulkInvoiceCreateView, InstallmentScheduleView|finance|Invoice, InvoiceItem|FinanceModelTests, PaymentIntegrityTests|COMPLETE|Create = mutation

TRACE-0046|Finance: payments + receipts (HTML/PDF)|FinancePage.jsx, BulkFinancePage.jsx|'/finance','/finance/bulk'|/api/finance/payments/, /create/, /{pk}/, /{pk}/receipt/, /{pk}/receipt.pdf/, /payments/reversals/, /payments/bulk/|GET,POST|PaymentListView, PaymentCreateView, PaymentDetailView, PaymentReceiptHTMLView, PaymentReceiptPDFView, PaymentReversalCreateView, BulkPaymentCreateView|finance|Payment, PaymentReversal|PaymentIntegrityTests, ReceiptTests|COMPLETE|Payment = mutation

TRACE-0047|Payment gateways|FinancePage.jsx methods|'/finance'|/api/finance/stripe/checkout/, /stripe/webhook/, /jazzcash/checkout/, /jazzcash/callback/, /easypaisa/checkout/, /easypaisa/callback/|POST,GET|StripeCheckoutView, stripe_webhook, JazzCashCheckoutView, jazzcash_callback, EasyPaisaCheckoutView, easypaisa_callback|finance|Payment|JazzCashCheckoutSecurityTests|COMPLETE trip|Live gateway credential/callback unverifiable

TRACE-0048|Outstanding balances|StudentFeesPage.jsx|'/finance/student-fees'|/api/finance/outstanding/, /outstanding/student/{sid}/|GET|OutstandingBalanceView, StudentOutstandingBalanceView|finance|Invoice, Payment|ReceivablesAgingApiTests|COMPLETE|-

TRACE-0049|Concessions/fines/adjustments/refunds|FinancePage.jsx|'/finance'|/api/finance/concessions/..., /fines/..., /adjustments/..., /refunds/|GET,POST,PUT|Concession*, Fine*, Adjustment*, PaymentRefund* views|finance|Concession, Fine, Adjustment, PaymentRefund|ConcessionTests, FineTests, FineWaiverTests, AdjustmentTests, RefundTests, ConcessionTypeTests|COMPLETE|All = mutation

TRACE-0050|Journal entries + expenses|FinancePage.jsx|'/finance'|/api/finance/journal/, /journal-entries/..., /expenses/..., /expenses/{pk}/post/, /accounts/|GET,POST|JournalEntry*, Expense*, AccountListCreateView|finance|JournalEntry, JournalLine, Expense, Account|JournalEntryTests, ExpenseTests|COMPLETE|Post/void = mutation

TRACE-0051|Bank accounts + reconciliation|FinancePage.jsx|'/finance'|/api/finance/bank-accounts/, /{pk}/, /bank-reconciliations/..., /{pk}/approve/|GET,POST,PUT|BankAccount*, BankReconciliation* views|finance|BankAccount, BankReconciliation|No dedicated tests|COMPLETE trip|Approve = mutation

TRACE-0052|Budgets|FinancePage.jsx|'/finance'|/api/finance/budgets/, /{pk}/, /{budget_id}/lines/, /{pk}/approve|close|GET,POST,PUT|Budget*, BudgetLine* views|finance|Budget, BudgetLine|No dedicated tests|COMPLETE trip|Approve/close = mutation

TRACE-0053|Late fees apply/preview/cron|FinancePage.jsx, NotificationsPanel.jsx|'/finance','/settings'|/api/finance/late-fees/apply/, /preview/, /cron/late-fees/|POST,GET|LateFeeApplyView, LateFeePreviewView, LateFeeCronView|finance|(Invoice, Payment via LateFee service)|LateFeeServiceTests|COMPLETE|Apply = mutation

TRACE-0054|Finance reports (trial balance/income-expense/receivables)|FinancePage.jsx, ReportsPage.jsx|'/finance','/reports'|/api/finance/reports/trial-balance/, /income-expense/, /receivables/|GET|TrialBalanceReportView, IncomeExpenseReportView, ReceivablesReportView|finance|computed|No dedicated tests in finance (report views under /api/finance/reports/)|COMPLETE trip|-

TRACE-0055|Exams CRUD + schedule + seating + subjects|ExamsPage.jsx + ManageSubjects/Schedule/SeatingPanels + ExamFormModal|'/exams'|/api/exams/, /{pk}/, /subjects/..., /schedules/..., /seating/..., /seating/bulk/|GET,POST,PUT,POST|ExamListView, ExamDetailView, ExamSubject*, ExamSchedule*, ExamSeating*, ExamSeatingBulkView|exams|Exam, ExamSubject, ExamSchedule, ExamSeating|ExamCrudApiTests, ExamSubjectApiTests, ExamScheduleApiTests, ExamSeatingApiTests, ExamScheduleConflictTests, ExamScheduleValidationTests, ExamTermValidationTests|COMPLETE|CRUD = mutation

TRACE-0056|Exam marks entry + results + gradebook|MarksEntryPanel.jsx (ExamsPage)|'/exams'|/api/exams/results/, /results/{pk}/, /practical/..., /gradebook/|GET,POST,PUT|StudentResultListView, StudentResultDetailView, PracticalResult*, ClassGradebookView|exams|StudentResult, PracticalResult|KnownMarksTests, PercentageCalculationTests, GradeBoundaryTests, GpaCalculationTests, PassFailTests, InvalidMarksTests, MarksAuthorizationTests, GradeServiceDelegationTests|COMPLETE|Entry = mutation

TRACE-0057|Grade amendments approve/reject|ExamsPage.jsx|'/exams'|/api/exams/amendments/, /{pk}/approve|reject|GET,POST,PUT|GradeAmendment*, GradeAmendmentApproveView, GradeAmendmentRejectView|exams|GradeAmendment|No dedicated tests|COMPLETE trip|Mutation

TRACE-0058|Report cards list/detail/pdf/status/batch|ReportCardsPage.jsx|'/report-cards'|/api/report-cards/, /{pk}/, /{pk}/pdf/, /{pk}/status/, /pdf/batch/|GET,POST|ReportCardListView, ReportCardDetailView, ReportCardPdfView, ReportCardStatusView, ReportCardPdfBatchView|reportcards|ReportCard, ReportCardSubject|ReportCardModelTests, ReportCardListTests, ReportCardPdfTests|COMPLETE|PDF generation unverified live

TRACE-0059|Grade scales|SettingsPage.jsx|'/settings'|/api/report-cards/grade-scales/|GET|GradeScaleListView|reportcards|GradeScale, GradeBand|GradeScaleTests|COMPLETE|-

TRACE-0060|Result lifecycle (lock/publish)|ReportCardsPage.jsx (status)|'/report-cards'|/api/report-cards/{pk}/status/|POST|ReportCardStatusView|reportcards|ReportCard|ResultLifecycleModelTests, ResultLockingModelTests, ResultLifecycleApiTests, ResultLifecycleIsolationApiTests|COMPLETE|Status change = mutation

TRACE-0061|Timetable periods/entries|TimetablePage.jsx|'/timetable' (many roles)|/api/timetable/periods/, /entries/|GET,POST|PeriodListView, TimetableEntryListView|timetable|Period, TimetableEntry|TimetableModelTests, TimetablePeriodIsolationTests, TimetableEntryIsolationTests|COMPLETE|-

TRACE-0062|Timetable conflicts + generate|TimetablePage.jsx|'/timetable'|/api/timetable/conflicts/, /generate/|GET,POST|TimetableConflictsView, TimetableGenerateView|timetable|TimetableEntry|TimetableConflictsIsolationTests, TimetableConflictRejectionTests|COMPLETE|Generate = mutation

TRACE-0063|Events CRUD + RSVP|EventsPage.jsx|'/events' (ANY authenticated)|/api/events/, /{pk}/, /{pk}/rsvp/|GET,POST,PUT|EventListCreateView, EventDetailView, EventRSVPView|events|Event, EventAudience, EventRSVP|EventTests (CRUD, audit, published-only)|COMPLETE|CRUD = mutation

TRACE-0064|Announcements (targeted)|AnnouncementsPage.jsx|'/announcements'|/api/communication/announcements/, /{pk}/|GET,POST,PUT|AnnouncementListView, AnnouncementDetailView|communication|Announcement|AnnouncementAudienceFilteringTests, AnnouncementIsolationTests, AnnouncementTargetUserIdsTests|COMPLETE|Create = mutation

TRACE-0065|Internal messaging|MessagesPage.jsx|'/messages'|/api/communication/messages/, /recipients/, /unread-count/, /{pk}/, /{pk}/thread/|GET,POST|MessageListView, MessageRecipientsView, MessageUnreadCountView, MessageDetailView, MessageThreadView|communication|Message|MessageIsolationTests|COMPLETE|Send = mutation

TRACE-0066|Notifications + read-all|MessagesPage.jsx, AnnouncementsPage|'/messages'|/api/communication/notifications/, /{pk}/read/, /read-all/|GET,POST|NotificationListView, NotificationMarkReadView, NotificationMarkAllReadView|communication|Notification, NotificationDispatch|NotificationQueueTests, ProcessNotificationsCronTests, ResultPublishedNotificationTests|COMPLETE|-

TRACE-0067|SMS broadcast + logs|SMSPage.jsx|'/sms' (super_admin,admin)|/api/communication/sms/send/, /sms/logs/|POST,GET|SMSBroadcastView, SMSLogListView|communication|SMSLog|MessageIsolationTests (logs)|COMPLETE trip|Send = external side effect + mutation

TRACE-0068|Email broadcast + logs|SMSPage.jsx (email tab)|'/sms'|/api/communication/email/send/, /email/logs/|POST,GET|EmailBroadcastView, EmailLogListView|communication|EmailLog|EmailLogIsolationTests|COMPLETE trip|Send = external side effect

TRACE-0069|Message templates + preview|TemplatesPage.jsx|'/templates' (super_admin,admin)|/api/communication/templates/, /{pk}/, /{pk}/preview/|GET,POST,PUT|MessageTemplateListView, MessageTemplateDetailView, MessageTemplatePreviewView|communication|MessageTemplate|MessageTemplateIsolationTests|COMPLETE|-

TRACE-0070|Fee reminder + notification crons|NotificationsPanel.jsx (dry-run)|'/settings' (super_admin,admin)|/api/communication/cron/fee-reminders/, /cron/process-notifications/|GET|FeeReminderCronView, ProcessNotificationsCronView|communication|QueuedNotification|ProcessNotificationsCronTests, FeeReminderCron?|COMPLETE|Triggers mutation

TRACE-0071|Audit log view + CSV export|AuditLogsPage.jsx|'/audit-logs' (super_admin,admin)|/api/audit/, /actions/|GET|AuditLogListView, AuditLogActionChoicesView|audit|AuditLog|AuditCsvExportTests, AuditLoggingTests, Phase9AuditTests|COMPLETE|CSV export URL param?|export handled client-side

TRACE-0072|Library books + copies|LibraryPage.jsx|'/library' (incl. librarian)|/api/library/books/, /{pk}/, /{bk}/copies/, /copies/{pk}/|GET,POST,PUT|BookListView, BookDetailView, BookCopyListCreateView, BookCopyDetailView|library|Book, BookCopy|BookCampusIsolationTests|COMPLETE|-

TRACE-0073|Library issue/return|LibraryPage.jsx|'/library'|/api/library/issues/, /{pk}/, /{pk}/return/|GET,POST,PUT|BookIssueListView, BookIssueDetailView, BookReturnView|library|BookIssue|No dedicated library issue tests|COMPLETE trip|MUTATION_BLOCKED (PHASE_73)

TRACE-0074|Library reservations fulfill/cancel|LibraryPage.jsx|'/library'|/api/library/reservations/, /{pk}/, /{pk}/fulfill, /{pk}/cancel|GET,POST,PUT|BookReservationListCreateView, BookReservationDetailView, BookReservationFulfillView, BookReservationCancelView|library|BookReservation|No dedicated tests|COMPLETE trip|MUTATION_BLOCKED (PHASE_73)

TRACE-0075|Library members/settings/reports|LibraryPage.jsx|'/library'|/api/library/members/, /settings/, /reports/|GET|LibraryMembersView, LibrarySettingsView, LibraryReportsView|library|(library models)|No dedicated tests|COMPLETE trip|-

TRACE-0076|Transport vehicles/drivers/routes|TransportPage.jsx|'/transport'|/api/transport/vehicles/, /drivers/, /routes/, /{pk}/ each|GET,POST,PUT|VehicleListView, DriverListView, RouteListView + detail views|transport|Vehicle, Driver, Route, RouteStop|NO TESTS (transport has no tests.py)|COMPLETE trip|-

TRACE-0077|Transport assignments|TransportPage.jsx|'/transport'|/api/transport/assignments/, /{pk}/|GET,POST|TransportAssignmentListView, TransportAssignmentDetailView|transport|TransportAssignment|NO TESTS|COMPLETE trip|Mutation

TRACE-0078|GPS ping/live|TransportPage.jsx map overlay|'/transport'|/api/transport/gps/ping/, /gps/live/|POST,GET|GpsPingView, GpsLiveView|transport|VehicleLocationLog|NO TESTS|COMPLETE trip|Live tracking unverified

TRACE-0079|Inventory categories/suppliers/assets|InventoryPage.jsx|'/inventory'|/api/inventory/categories/, /suppliers/, /assets/, /{pk}/, /maintenance/, /{pk}/|GET,POST,PUT|AssetCategoryListView, SupplierListView, AssetListView, AssetDetailView, MaintenanceRecord*|inventory|AssetCategory, Supplier, Asset, MaintenanceRecord|AssetCampusIsolationTests|COMPLETE|-

TRACE-0080|Asset assignments|InventoryPage.jsx|'/inventory'|/api/inventory/assignments/, /{pk}/|GET,POST|AssetAssignmentListView, AssetAssignmentDetailView|inventory|AssetAssignment|No dedicated tests|COMPLETE trip|-

TRACE-0081|Stock levels/movements/summary|InventoryPage.jsx|'/inventory'|/api/inventory/stock/levels/, /{pk}/, /stock/movements/, /stock/summary/|GET,POST,PUT|StockLevel*, StockMovementListView, StockSummaryView|inventory|StockLevel, StockMovement|StockEngineTests, StockLevelAPITests, StockMovementAPITests, StockSummaryAPITests, StockMovementTenantIsolationTests|COMPLETE|-

TRACE-0082|Payroll salary structures|PayrollPage.jsx|'/payroll'|/api/payroll/salary-structures/, /{pk}/|GET,POST|SalaryStructureListView, SalaryStructureDetailView|payroll|SalaryStructure, SalaryStructureComponent, SalaryComponentTemplate|SalaryStructurePayrollTests|COMPLETE|-

TRACE-0083|Payroll records lifecycle + payslips|PayrollPage.jsx|'/payroll'|/api/payroll/records/, /{pk}/, /{pk}/process, /approve, /pay, /payslip.pdf, /payslip/, /records/bank-file/, /payslips/|GET,POST,PUT|PayrollRecordListView, PayrollRecordDetailView, PayrollProcessView, PayrollApproveView, PayrollPayView, PayrollPayslipPdfView, PayslipGenerateView, PayrollBankFileView, PayslipListView|payroll|PayrollRecord, Payslip|PayrollRecordTests, PayrollLifecycleTests, PayrollExportTests|COMPLETE|MUTATION_BLOCKED (PHASE_73 explicit)

TRACE-0084|HR departments/designations/employees|HRPage.jsx|'/hr'|/api/hr/departments/, /{pk}/, /designations/, /{pk}/, /employees/, /{pk}/, /{pk}/detail/|GET,POST,PUT|Department*, Designation*, Employee*, EmployeeDetailView (dup)|hr|Department, Designation, Employee|HRModelTests, HREmployeeCreationTests|COMPLETE|Duplicate url patterns in hr/urls.py (contracts/documents/workload/reviews/employment-events defined twice)

