module,endpoint,roles tested,status
Reports,/api/reports/fees/,SUPER_ADMIN,OK
Reports,/api/reports/fee-defaulters/,SUPER_ADMIN,OK
Reports,/api/reports/collection-trend/,SUPER_ADMIN,OK
Reports,/api/reports/discounts/,SUPER_ADMIN,OK
Reports,/api/reports/payments/,SUPER_ADMIN,OK
Reports,/api/reports/fee-categories/,SUPER_ADMIN,OK
Reports,/api/reports/teacher-workload/,SUPER_ADMIN,OK
Reports,/api/reports/student-status/,SUPER_ADMIN,OK
Reports,/api/reports/staff/,SUPER_ADMIN,OK
Timetable,/api/timetable/,SUPER_ADMIN,UNIMPLEMENTED-404
Homework,/api/homework/,SUPER_ADMIN,OK
LMS,/api/lms/,SUPER_ADMIN,UNIMPLEMENTED-404
Library,/api/library/,SUPER_ADMIN,UNIMPLEMENTED-404
Transport,/api/transport/,SUPER_ADMIN,UNIMPLEMENTED-404
Inventory,/api/inventory/,SUPER_ADMIN,UNIMPLEMENTED-404
Documents,/api/documents/,SUPER_ADMIN,OK
Helpdesk,/api/helpdesk/,SUPER_ADMIN,UNIMPLEMENTED-404
Visitors,/api/visitors/,SUPER_ADMIN,UNIMPLEMENTED-404
DigitalIDs,/api/digital-ids/,SUPER_ADMIN,UNIMPLEMENTED-404
Workflow,/api/workflow/,SUPER_ADMIN,UNIMPLEMENTED-404
AI,/api/ai/overview/,SUPER_ADMIN,OK
AI,/api/ai/ask/,SUPER_ADMIN,SHOULD-POST/NOT-GET
AI,/api/ai/search/,SUPER_ADMIN,OK
AI,/api/ai/insights/students/,SUPER_ADMIN,OK
AI,/api/ai/insights/attendance/,SUPER_ADMIN,OK
AI,/api/ai/insights/academic/,SUPER_ADMIN,OK
AI,/api/ai/insights/finance/,SUPER_ADMIN,OK
AI,/api/ai/anomalies/,SUPER_ADMIN,OK
AI,/api/ai/communication/draft/,SUPER_ADMIN,SHOULD-POST/NOT-GET
Audit,/api/audit/,"ADMIN,SUPER_ADMIN",OK
Search,/api/search/,"ADMIN,SUPER_ADMIN",OK
Schools,/api/schools/,SUPER_ADMIN,OK
Schools,/api/schools/campuses/,SUPER_ADMIN,OK
Schools,/api/schools/classes/,SUPER_ADMIN,OK
Schools,/api/schools/sections/,SUPER_ADMIN,OK
Schools,/api/schools/academic-years/,SUPER_ADMIN,OK
Communication,/api/communication/notifications/,SUPER_ADMIN,OK
Events,/api/events/,SUPER_ADMIN,OK
Discipline,/api/discipline/,SUPER_ADMIN,UNIMPLEMENTED-404
HealthRecords,/api/health-records/,SUPER_ADMIN,UNIMPLEMENTED-404
Alumni,/api/alumni/,SUPER_ADMIN,OK
Hostel,/api/hostel/,SUPER_ADMIN,UNIMPLEMENTED-404
Portal,/api/portal/,SUPER_ADMIN,UNIMPLEMENTED-404
SAAS,/api/saas/,SUPER_ADMIN,UNIMPLEMENTED-404
Dashboard,/api/dashboard/overview/,"ADMIN,STAFF_01,STUDENT_01,SUPER_ADMIN,TEACHER_01",OK
Dashboard,/api/dashboard/finance/,"ADMIN,SUPER_ADMIN",OK
Dashboard,/api/dashboard/finance/breakdown/,"ADMIN,SUPER_ADMIN",OK
Dashboard,/api/dashboard/summary/,SUPER_ADMIN,UNIMPLEMENTED-404
Settings,/api/settings/,SUPER_ADMIN,UNIMPLEMENTED-404
Branding,/api/branding/,SUPER_ADMIN,UNIMPLEMENTED-404
AuditLogs,/api/audit-logs/,SUPER_ADMIN,UNIMPLEMENTED-404
