Role,Module,Login_Status,Auth_Me_Status,Primary_Module_Access,Authorization_Boundary,Data_Scope,Performance_Status,Certification_Status,Notes
TEACHER,Dashboard,LOGIN_OK_SESSION_OK,200,PASS,Classroom,Institution,PASS,CERTIFIED,Classroom-scoped access
TEACHER,Finance_Dashboard,LOGIN_OK_SESSION_OK,200,PASS,Classroom,Institution,PASS,CERTIFIED,Own finance data only
TEACHER,Finance_Reports,LOGIN_OK_SESSION_OK,403,EXPECTED_FORBIDDEN,Classroom,Institution,EXPECTED_FORBIDDEN,CERTIFIED,Correctly denied finance reports
TEACHER,Students,LOGIN_OK_SESSION_OK,200,PASS,Classroom,Institution,PASS,CERTIFIED,Classroom-scoped students
TEACHER,Attendance,LOGIN_OK_SESSION_OK,200,PASS,Classroom,Institution,PASS,CERTIFIED,Classroom attendance
TEACHER,Exams,LOGIN_OK_SESSION_OK,200,PASS,Classroom,Institution,PASS,CERTIFIED,Classroom exams
TEACHER,Library,LOGIN_OK_SESSION_OK,200,PASS,Classroom,Institution,PASS,CERTIFIED,Library read access
TEACHER,Staff,LOGIN_OK_SESSION_OK,403,EXPECTED_FORBIDDEN,Classroom,Institution,EXPECTED_FORBIDDEN,CERTIFIED,Correctly denied staff module
TEACHER,Reports,LOGIN_OK_SESSION_OK,NOT_TESTED,NOT_CERTIFIED,Classroom,Institution,NOT_CERTIFIED,Not tested in Phase 57
STAFF,Dashboard,LOGIN_OK_SESSION_OK,200,PASS,Campus 7,Campus,PASS,CERTIFIED,Campus-scoped access (Phase 46 repair)
STAFF,Finance_Dashboard,LOGIN_OK_SESSION_OK,200,PASS,Campus 7,Campus,PASS,CERTIFIED,Own finance data
STAFF,Finance_Reports,LOGIN_OK_SESSION_OK,403,EXPECTED_FORBIDDEN,Campus 7,Campus,EXPECTED_FORBIDDEN,CERTIFIED,Correctly denied finance reports
STAFF,Students,LOGIN_OK_SESSION_OK,200,PASS,Campus 7,Campus,PASS,CERTIFIED,Campus-scoped students
STAFF,Library,LOGIN_OK_SESSION_OK,NOT_TESTED,NOT_CERTIFIED,Campus 7,Campus,NOT_CERTIFIED,Not tested in Phase 57
STAFF,Attendance,LOGIN_OK_SESSION_OK,NOT_TESTED,NOT_CERTIFIED,Campus 7,Campus,NOT_CERTIFIED,Not tested in Phase 57
STAFF,Exams,LOGIN_OK_SESSION_OK,NOT_TESTED,NOT_CERTIFIED,Campus 7,Campus,NOT_CERTIFIED,Not tested in Phase 57
STUDENT,Dashboard,LOGIN_OK_SESSION_OK,200,PASS,Self,Institution,PASS,CERTIFIED,Own data only
STUDENT,Finance_Dashboard,LOGIN_OK_SESSION_OK,200,PASS,Self,Institution,PASS,CERTIFIED,Own invoices
STUDENT,Students,LOGIN_OK_SESSION_OK,200,PASS,Self,Institution,PASS,CERTIFIED,Own profile
STUDENT,Attendance,LOGIN_OK_SESSION_OK,200,PASS,Self,Institution,PASS,CERTIFIED,Own attendance
STUDENT,Exams,LOGIN_OK_SESSION_OK,200,PASS,Self,Institution,PASS,CERTIFIED,Own exams
STUDENT,Library,LOGIN_OK_SESSION_OK,NOT_TESTED,NOT_CERTIFIED,Self,Institution,NOT_CERTIFIED,Not tested in Phase 57
STUDENT,Attendance,LOGIN_OK_SESSION_OK,200,PASS,Self,Institution,PASS,CERTIFIED,Own attendance
STUDENT,Exams,LOGIN_OK_SESSION_OK,200,PASS,Self,Institution,PASS,CERTIFIED,Own exams
STUDENT,Reports,LOGIN_OK_SESSION_OK,NOT_TESTED,NOT_CERTIFIED,Self,Institution,NOT_CERTIFIED,Not tested in Phase 57
