route,module,expected_role,actual_role,navigation_status,api_status,page_rendered,authorization_status,production_evidence,status,notes
/lms,lms,principal,principal,200,BOOT_200,YES,denied_absent,probe main=128,PROVEN,"New Course control present; 0 courses"
/helpdesk,helpdesk,principal,principal,200,BOOT_200,YES,denied_absent,stability trace main=277,PROVEN,"Support tickets view"
/visitors,visitors,principal,principal,200,BOOT_200,YES,denied_absent,probe main=233,PROVEN,"Gate log shell; Check In control present"
/digital-ids,digital_ids,principal,principal,200,BOOT_200,YES,denied_absent,probe main=246,PROVEN,"Issue Card control present"
/workflow/definitions,workflow_definitions,principal,principal,200,BOOT_200,YES,denied_absent,probe main=143,PROVEN,"Renders"
/workflow/approvals,workflow_approvals,principal,principal,200,BOOT_200,YES,denied_absent,probe main=112,PROVEN,"0 approvals waiting; Loading data..."
/settings,settings,principal,principal,200,BOOT_200,YES,denied_absent,probe main=826,PROVEN,"Settings page renders"
/events,events,principal,principal,200,BOOT_200,YES,denied_absent,stability trace main=148,PROVEN,"No guard route; renders"
/ai-assistant,ai_assistant,principal,principal,200,BOOT_200,YES,denied_absent,probe main=191,PROVEN,"No guard route; renders; availability check"
/parent-portal,parent_portal,principal,denied_card,200,BOOT_200,DENIED_CARD,denied_expected,probe3 denied card,PROVEN_DENIED,"Access denied card text matches RequireRoles"
/finance/student-fees,finance_student_fees,principal,denied_card,200,BOOT_200,DENIED_CARD,denied_expected,probe3 denied card,PROVEN_DENIED,"Admin/accountant only per source"
/finance/bulk,finance_bulk,principal,denied_card,200,BOOT_200,DENIED_CARD,denied_expected,probe3 denied card,PROVEN_DENIED,"Admin/accountant only per source"
/sms,sms,principal,denied_card,200,BOOT_200,DENIED_CARD,denied_expected,admin.spec.js deniedUI,PROVEN_DENIED,"Super admin/admin only per source"
/templates,templates,principal,denied_card,200,BOOT_200,DENIED_CARD,denied_expected,admin.spec.js deniedUI,PROVEN_DENIED,"Super admin/admin only"
/data-export,data_export,principal,denied_card,200,BOOT_200,DENIED_CARD,denied_expected,admin.spec.js deniedUI,PROVEN_DENIED,"Super admin/admin only"
/data-import,data_import,principal,denied_card,200,BOOT_200,DENIED_CARD,denied_expected,admin.spec.js deniedUI,PROVEN_DENIED,"Super admin/admin only"
/branding,branding,principal,denied_card,200,BOOT_200,DENIED_CARD,denied_expected,admin.spec.js deniedUI,PROVEN_DENIED,"Super admin/admin only"
/health,health,principal,denied_card,200,BOOT_200,DENIED_CARD,denied_expected,probe3 denied card,PROVEN_DENIED,"Super admin/admin only"
/audit-logs,audit_logs,principal,denied_card,200,BOOT_200,DENIED_CARD,denied_expected,admin.spec.js deniedUI,PROVEN_DENIED,"Super admin/admin only"
/tenants,tenants,principal,denied_card,200,BOOT_200,DENIED_CARD,denied_expected,admin.spec.js deniedUI,PROVEN_DENIED,"Platform-admin flag false for principal"
/students/:id,students_detail,principal,NOT_ATTEMPTED,,NOT_ATTEMPTED,not_probed,safety_skip,no safe spec for ID probes,UNVERIFIED,"ID detail route; not probed per Step 5 §5"
/profile/teacher/:id,profile_teacher_detail,principal,NOT_ATTEMPTED,,NOT_ATTEMPTED,not_probed,safety_skip,no safe spec for ID probes,UNVERIFIED,ID detail route
/profile/student/:id,profile_student_detail,principal,NOT_ATTEMPTED,,NOT_ATTEMPTED,not_probed,safety_skip,no safe spec for ID probes,UNVERIFIED,ID detail route
/profile/staff/:id,profile_staff_detail,principal,NOT_ATTEMPTED,,NOT_ATTEMPTED,not_probed,safety_skip,no safe spec for ID probes,UNVERIFIED,ID detail route
/workflow/instances/:id,workflow_instance_detail,principal,NOT_ATTEMPTED,,NOT_ATTEMPTED,not_probed,safety_skip,no safe spec for ID probes,UNVERIFIED,ID detail route
