module,super_admin_access_expected,super_admin_access_observed,read_only_status,mutation_status,api_status,frontend_status,evidence,notes
Reports,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/reports),routes=1 bodyLen avg=549
Documents,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/documents),routes=1 bodyLen avg=462
Events,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/events),routes=1 bodyLen avg=126
Messages,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/messages),routes=1 bodyLen avg=210
Timetable,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/timetable),routes=1 bodyLen avg=544
Library,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/library),routes=1 bodyLen avg=309
Transport,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/transport),routes=1 bodyLen avg=240
Inventory,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/inventory),routes=1 bodyLen avg=219
Helpdesk,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/helpdesk),routes=1 bodyLen avg=277
Visitors,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/visitors),routes=1 bodyLen avg=286
Digital IDs,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/digital-ids),routes=1 bodyLen avg=313
Workflow Definitions,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/workflow/definitions),routes=1 bodyLen avg=143
Pending Approvals,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/workflow/approvals),routes=1 bodyLen avg=112
Hostel,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/hostel),routes=1 bodyLen avg=209
Health Records,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/health-records),routes=1 bodyLen avg=573
Parent Portal,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/parent-portal),routes=1 bodyLen avg=231
Settings,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/settings),routes=1 bodyLen avg=1401
Branding,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/branding),routes=1 bodyLen avg=115
Audit Logs,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/audit-logs),routes=1 bodyLen avg=142
My Profile,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/profile),routes=1 bodyLen avg=296
Campuses,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/campuses),routes=1 bodyLen avg=137
Admissions,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/admissions),routes=1 bodyLen avg=774
Academics,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/academics),routes=1 bodyLen avg=151
Student Fees,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/finance/student-fees),routes=1 bodyLen avg=342
Bulk Finance,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/finance/bulk),routes=1 bodyLen avg=293
Report Builder,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/report-builder),routes=1 bodyLen avg=215
Data Export,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/data-export),routes=1 bodyLen avg=850
Data Import,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/data-import),routes=1 bodyLen avg=322
SMS,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/sms),routes=1 bodyLen avg=300
Templates,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/templates),routes=1 bodyLen avg=242
Campus Dashboard,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/campus-dashboard),routes=1 bodyLen avg=117
Executive Dashboard,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/executive-dashboard),routes=1 bodyLen avg=105
Alumni,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/alumni),routes=1 bodyLen avg=259
Announcements,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/announcements),routes=1 bodyLen avg=276
AI Assistant,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/ai-assistant),routes=1 bodyLen avg=191
Staff Leave & Attendance,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/staff-operations),routes=1 bodyLen avg=358
Assignments,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/assignments),routes=1 bodyLen avg=591
Discipline,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/discipline),routes=1 bodyLen avg=183
Homework,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/homework),routes=1 bodyLen avg=139
Online Courses,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/lms),routes=1 bodyLen avg=130
Schools,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/tenants),routes=1 bodyLen avg=191
System Health,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/health),routes=1 bodyLen avg=132
